Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,981,418,702,103,631,392
4/10/2022,>25,Male,679,669,163,637,659,285
4/10/2022,15-25,Female,863,787,885,61,374,951
4/10/2022,>25,Female,274,549,943,52,925,604
5/10/2022,15-25,Male,53,536,445,168,732,376
5/10/2022,>25,Male,599,299,345,901,642,989
5/10/2022,15-25,Female,600,566,34,26,344,837
5/10/2022,>25,Female,71,969,615,946,939,277
6/10/2022,15-25,Male,999,569,714,614,982,797
6/10/2022,>25,Male,718,558,33,564,182,891
6/10/2022,15-25,Female,715,83,314,718,747,514
6/10/2022,>25,Female,178,638,422,533,81,421
7/10/2022,15-25,Male,414,387,231,77,308,559
7/10/2022,>25,Male,188,627,355,624,171,363
7/10/2022,15-25,Female,986,14,67,380,520,725
7/10/2022,>25,Female,740,311,272,818,945,296
8/10/2022,15-25,Male,358,209,776,579,422,912
8/10/2022,>25,Male,17,561,355,821,845,794
8/10/2022,15-25,Female,73,651,713,911,233,371
8/10/2022,>25,Female,204,963,763,381,360,744
9/10/2022,15-25,Male,0,838,329,405,223,633
9/10/2022,>25,Male,359,728,374,778,69,407
9/10/2022,15-25,Female,417,125,686,999,496,405
9/10/2022,>25,Female,315,563,664,136,193,423
10/10/2022,15-25,Male,878,462,151,878,924,913
10/10/2022,>25,Male,871,305,272,813,384,502
10/10/2022,15-25,Female,839,167,164,995,3,414
10/10/2022,>25,Female,39,220,528,605,865,88
11/10/2022,15-25,Male,418,852,851,503,953,643
11/10/2022,>25,Male,675,826,35,634,862,63
11/10/2022,15-25,Female,879,716,350,852,237,772
11/10/2022,>25,Female,219,306,36,374,485,139
12/10/2022,15-25,Male,588,776,419,694,159,130
12/10/2022,>25,Male,264,838,707,862,808,42
12/10/2022,15-25,Female,189,869,50,277,458,624
12/10/2022,>25,Female,237,8,776,850,262,746
13/10/2022,15-25,Male,259,31,524,401,830,37
13/10/2022,>25,Male,183,566,728,752,142,680
13/10/2022,15-25,Female,748,856,323,41,288,431
13/10/2022,>25,Female,793,884,614,188,858,190
14/10/2022,15-25,Male,182,574,275,717,569,690
14/10/2022,>25,Male,656,136,705,781,832,133
14/10/2022,15-25,Female,13,955,971,246,794,267
14/10/2022,>25,Female,960,328,512,248,730,747
15/10/2022,15-25,Male,237,845,106,767,134,762
15/10/2022,>25,Male,408,264,359,757,128,329
15/10/2022,15-25,Female,651,501,757,251,733,595
15/10/2022,>25,Female,65,630,603,766,99,312
16/10/2022,15-25,Male,996,539,360,962,909,768
16/10/2022,>25,Male,827,569,893,952,449,380
16/10/2022,15-25,Female,873,466,310,854,304,740
16/10/2022,>25,Female,562,138,660,488,59,208
17/10/2022,15-25,Male,472,752,697,992,812,684
17/10/2022,>25,Male,237,578,305,334,686,143
17/10/2022,15-25,Female,2,381,825,280,552,918
17/10/2022,>25,Female,986,388,569,875,533,86
18/10/2022,15-25,Male,349,631,414,799,111,512
18/10/2022,>25,Male,524,291,257,372,377,502
18/10/2022,15-25,Female,374,736,814,501,298,204
18/10/2022,>25,Female,316,501,324,139,233,600
19/10/2022,15-25,Male,904,431,380,101,746,590
19/10/2022,>25,Male,556,679,897,12,683,716
19/10/2022,15-25,Female,251,375,397,433,382,529
19/10/2022,>25,Female,512,978,96,781,512,569
20/10/2022,15-25,Male,309,127,328,982,525,956
20/10/2022,>25,Male,852,795,735,398,334,769
20/10/2022,15-25,Female,92,820,800,578,755,400
20/10/2022,>25,Female,792,105,385,514,0,715
21/10/2022,15-25,Male,986,540,892,432,785,160
21/10/2022,>25,Male,718,303,25,604,755,962
21/10/2022,15-25,Female,62,893,19,760,922,777
21/10/2022,>25,Female,240,528,891,440,263,605
22/10/2022,15-25,Male,193,283,918,767,844,482
22/10/2022,>25,Male,660,88,306,152,387,164
22/10/2022,15-25,Female,403,510,904,711,109,250
22/10/2022,>25,Female,703,198,715,605,219,380
23/10/2022,15-25,Male,132,707,259,258,967,629
23/10/2022,>25,Male,202,242,738,389,838,1
23/10/2022,15-25,Female,959,998,195,391,493,415
23/10/2022,>25,Female,470,832,740,625,4,0
24/10/2022,15-25,Male,375,388,475,413,289,665
24/10/2022,>25,Male,378,226,605,823,824,969
24/10/2022,15-25,Female,863,833,464,79,786,145
24/10/2022,>25,Female,233,208,539,880,33,181
25/10/2022,15-25,Male,596,691,598,824,624,66
25/10/2022,>25,Male,66,149,903,401,74,936
25/10/2022,15-25,Female,172,304,223,498,519,268
25/10/2022,>25,Female,867,126,979,902,488,950
26/10/2022,15-25,Male,212,327,415,662,879,545
26/10/2022,>25,Male,36,164,227,325,287,737
26/10/2022,15-25,Female,24,144,940,437,360,32
26/10/2022,>25,Female,141,607,745,973,135,759
27/10/2022,15-25,Male,710,909,503,455,319,484
27/10/2022,>25,Male,23,746,291,391,918,595
27/10/2022,15-25,Female,695,873,101,602,908,591
27/10/2022,>25,Female,135,974,390,605,376,384
28/10/2022,15-25,Male,165,932,595,975,824,662
28/10/2022,>25,Male,431,154,248,48,141,918
28/10/2022,15-25,Female,806,207,984,722,485,692
28/10/2022,>25,Female,169,778,151,556,680,439
29/10/2022,15-25,Male,706,759,741,707,793,181
29/10/2022,>25,Male,254,783,697,347,555,629
29/10/2022,15-25,Female,808,627,246,254,609,665
29/10/2022,>25,Female,368,135,679,237,127,150
